Index,HourType,LongAcc,LatAcc,Speed
0,Rush Hour,0.002038736,0,20.94
1,Rush Hour,-0.002038736,0,20.92
2,Rush Hour,-0.003058104,0,20.92
3,Rush Hour,-0.003058104,0,20.92
4,Rush Hour,-0.002038736,0,20.92
5,Rush Hour,-0.002038736,0,20.92
6,Rush Hour,0.002038736,0,20.94
7,Rush Hour,0.00509684,0,21.04
8,Rush Hour,0.01529052,0,21.02
9,Rush Hour,0.011213048,0,21.02
10,Rush Hour,0.008154944,0,21.06
11,Rush Hour,0.012232416,0,21.06
12,Rush Hour,0.012232416,0,21.06
13,Rush Hour,0.049949032,0,11.04
14,Rush Hour,0.04587156,0,11.14
15,Rush Hour,0.067278287,0,11.34
16,Rush Hour,0.065239551,0,11.32
17,Rush Hour,0.054026504,0,11.32
18,Rush Hour,0.04077472,0,11.3
19,Rush Hour,0.002038736,0,11.28
20,Rush Hour,0.017329256,0,11.44
21,Rush Hour,0.023445464,0,11.44
22,Rush Hour,0.027522936,0,11.48
23,Rush Hour,0.024464832,0,11.48
24,Rush Hour,0.036697248,0,11.58
25,Rush Hour,0.012232416,0,21.08
26,Rush Hour,0.013251784,0,21.08
27,Rush Hour,0.013251784,0,21.08
28,Rush Hour,0.011213048,0,21.1
29,Rush Hour,0.011213048,0,21.1
30,Rush Hour,0.012232416,0,21.1
31,Rush Hour,0.011213048,0,21.1
32,Rush Hour,0.007135576,0,21.1
33,Rush Hour,0.00509684,0,21.16
34,Rush Hour,0.00509684,0,21.16
35,Rush Hour,0.013251784,0,21.16
36,Rush Hour,0.013251784,0,21.16
37,Rush Hour,0.01529052,0,21.16
38,Rush Hour,0.013251784,0,21.16
39,Rush Hour,0.01019368,0,21.2
40,Rush Hour,0.012232416,0,21.2
41,Rush Hour,0.012232416,0,21.2
42,Rush Hour,0.01019368,0,21.24
43,Rush Hour,0.01019368,0,21.24
44,Rush Hour,0.01529052,0,21.24
45,Rush Hour,0.01529052,0,21.24
46,Rush Hour,0.01529052,0,21.26
47,Rush Hour,0.01529052,0,21.26
48,Rush Hour,0.012232416,0,21.3
49,Rush Hour,0.012232416,0,21.3
50,Rush Hour,0.01529052,0,21.3
51,Rush Hour,0.01529052,0,21.3
52,Rush Hour,0.013251784,0,21.32
53,Rush Hour,0.013251784,0,21.34
54,Rush Hour,0.01529052,0,21.34
55,Rush Hour,0.01529052,0,21.34
56,Rush Hour,0.01529052,0,21.34
57,Rush Hour,0.013251784,0,21.36
58,Rush Hour,0.013251784,0,21.36
59,Rush Hour,0.011213048,0,21.38
60,Rush Hour,0.018348624,0,21.5
61,Rush Hour,0.024464832,0,21.5
62,Rush Hour,0.022426096,0,21.54
63,Rush Hour,0.026503568,0,21.54
64,Rush Hour,0.006116208,0,21.58
65,Rush Hour,0.016309888,0,21.58
66,Rush Hour,0.02038736,0,21.62
67,Rush Hour,0.0254842,0,21.68
68,Rush Hour,0.023445464,0,21.7
69,Rush Hour,0.066258919,0.018348624,27.12
70,Rush Hour,0.066258919,0.018348624,27.12
71,Rush Hour,0.059123344,-0.003058104,27.18
72,Rush Hour,0.059123344,-0.003058104,27.18
73,Rush Hour,0.037716616,0.002038736,27.18
74,Rush Hour,0.037716616,0.002038736,27.18
75,Rush Hour,0.048929664,0.01529052,27.2
76,Rush Hour,0.048929664,0.01529052,27.2
77,Rush Hour,-0.013251784,0.034658512,26.86
78,Rush Hour,-0.013251784,0.034658512,26.86
79,Rush Hour,0.091743119,0.055045872,26.88
80,Rush Hour,0.091743119,0.055045872,26.88
81,Rush Hour,0.107033639,0.073394495,26.96
82,Rush Hour,0.107033639,0.073394495,26.96
83,Rush Hour,0.077471967,0.06116208,26.98
84,Rush Hour,0.077471967,0.06116208,26.98
85,Rush Hour,0.033639144,0.042813456,26.98
86,Rush Hour,0.033639144,0.042813456,26.98
87,Rush Hour,0.064220183,0.06116208,27.02
88,Rush Hour,0.097859327,0.037716616,27.48
89,Rush Hour,0.059123344,0.037716616,27.7
90,Rush Hour,0.041794088,0.036697248,27.74
91,Rush Hour,0.041794088,0.036697248,27.74
92,Rush Hour,0.055045872,0.01529052,27.76
93,Rush Hour,0.06116208,0.024464832,27.8
94,Rush Hour,0.05606524,0.077471967,27.7
95,Rush Hour,0.033639144,0.06116208,27.72
96,Rush Hour,0.042813456,0.041794088,27.74
97,Rush Hour,0.049949032,0.034658512,27.76
98,Rush Hour,0.04587156,0.048929664,27.78
99,Rush Hour,0.076452599,0.063200815,27.94
100,Rush Hour,0.054026504,0.055045872,28
101,Rush Hour,0.033639144,0.03567788,28.02
102,Rush Hour,0.044852192,0.03058104,28.04
103,Rush Hour,0.063200815,0.049949032,28.08
104,Rush Hour,0.044852192,0.053007136,28.1
105,Rush Hour,0.03058104,0.023445464,28.12
106,Rush Hour,0.0509684,0.023445464,28.14
107,Rush Hour,0.072375127,0.042813456,28.34
108,Rush Hour,0.073394495,0.03567788,28.4
109,Rush Hour,0.024464832,0.026503568,28.42
110,Rush Hour,0.054026504,0.027522936,28.44
111,Rush Hour,0.041794088,0.04587156,28.26
112,Rush Hour,0.054026504,0.034658512,28.3
113,Rush Hour,0.049949032,0.047910296,28.32
114,Rush Hour,0.029561672,0.042813456,28.34
115,Rush Hour,0.028542304,0.018348624,28.42
116,Rush Hour,0.011213048,0.042813456,28.32
117,Rush Hour,0.024464832,0.049949032,28.34
118,Rush Hour,0.037716616,0.041794088,28.38
119,Rush Hour,0.032619776,0.028542304,28.4
120,Rush Hour,0.033639144,0.014271152,28.42
