Index,HourType,YawRate,Speed,Heading
0,Rush Hour,-0.17,20.94,90.65
1,Rush Hour,0.76,20.92,91.025
2,Rush Hour,0.27,20.92,90.775
3,Rush Hour,0.27,20.92,90.775
4,Rush Hour,-0.07,20.92,90.7875
5,Rush Hour,-0.07,20.92,90.7875
6,Rush Hour,-0.24,20.94,90.7
7,Rush Hour,0.15,21.04,90.85
8,Rush Hour,0.32,21.02,91.05
9,Rush Hour,0.65,21.02,91.0625
10,Rush Hour,0.69,21.06,91.0125
11,Rush Hour,0.49,21.06,91.0375
12,Rush Hour,0.49,21.06,91.0375
13,Rush Hour,3.56,11.04,46.525
14,Rush Hour,1.62,11.14,48.05
15,Rush Hour,6.32,11.34,49.6625
16,Rush Hour,6.16,11.32,51.2
17,Rush Hour,8.21,11.32,51.4625
18,Rush Hour,7.62,11.3,53.1125
19,Rush Hour,5.06,11.28,54.6
20,Rush Hour,6.64,11.44,56.175
21,Rush Hour,6.32,11.44,56.45
22,Rush Hour,8.62,11.48,58.0625
23,Rush Hour,8.07,11.48,58.4375
24,Rush Hour,8.21,11.58,59.0875
25,Rush Hour,0.3,21.08,91.05
26,Rush Hour,0.2,21.08,91.0625
27,Rush Hour,0.2,21.08,91.0625
28,Rush Hour,0.11,21.1,91
29,Rush Hour,0.11,21.1,91
30,Rush Hour,-0.02,21.1,91.0125
31,Rush Hour,-0.09,21.1,90.7125
32,Rush Hour,-0.67,21.1,90.7125
33,Rush Hour,-0.82,21.16,90.6125
34,Rush Hour,-0.82,21.16,90.6125
35,Rush Hour,-0.93,21.16,90.575
36,Rush Hour,-0.93,21.16,90.575
37,Rush Hour,-0.81,21.16,90.5375
38,Rush Hour,-0.58,21.16,90.5125
39,Rush Hour,-0.36,21.2,91.5125
40,Rush Hour,1.57,21.2,91.5
41,Rush Hour,1.57,21.2,91.5
42,Rush Hour,2.22,21.24,92.0875
43,Rush Hour,2.22,21.24,92.0875
44,Rush Hour,3.22,21.24,92.175
45,Rush Hour,3.22,21.24,92.175
46,Rush Hour,3.08,21.26,92.3625
47,Rush Hour,2.96,21.26,92.4875
48,Rush Hour,2.32,21.3,92.55
49,Rush Hour,2.32,21.3,92.55
50,Rush Hour,1.92,21.3,92.65
51,Rush Hour,1.92,21.3,92.65
52,Rush Hour,1.35,21.32,92.4
53,Rush Hour,-0.02,21.34,92.3125
54,Rush Hour,-0.43,21.34,92.3125
55,Rush Hour,-0.43,21.34,92.3125
56,Rush Hour,-0.43,21.34,92.3125
57,Rush Hour,-0.55,21.36,92.2625
58,Rush Hour,-0.6,21.36,92.2375
59,Rush Hour,-0.36,21.38,92.25
60,Rush Hour,-0.53,21.5,92.025
61,Rush Hour,-0.62,21.5,92
62,Rush Hour,-0.54,21.54,91.95
63,Rush Hour,-0.54,21.54,91.925
64,Rush Hour,-0.14,21.58,91.8875
65,Rush Hour,-0.2,21.58,91.875
66,Rush Hour,-0.4,21.62,91.75
67,Rush Hour,-0.77,21.68,91.525
68,Rush Hour,-0.78,21.7,91.325
69,Rush Hour,-0.49,27.12,91.125
70,Rush Hour,-0.49,27.12,91.125
71,Rush Hour,-0.41,27.18,91.05
72,Rush Hour,-0.41,27.18,91.05
73,Rush Hour,-0.26,27.18,91.025
74,Rush Hour,-0.26,27.18,91.025
75,Rush Hour,-0.16,27.2,91.025
76,Rush Hour,-0.16,27.2,91.025
77,Rush Hour,-0.02,26.86,91.075
78,Rush Hour,-0.02,26.86,91.075
79,Rush Hour,0.09,26.88,91.075
80,Rush Hour,0.09,26.88,91.075
81,Rush Hour,0.17,26.96,91.0875
82,Rush Hour,0.17,26.96,91.0875
83,Rush Hour,0.14,26.98,91.1125
84,Rush Hour,0.14,26.98,91.1125
85,Rush Hour,0.18,26.98,91.1375
86,Rush Hour,0.18,26.98,91.1375
87,Rush Hour,0.38,27.02,91.1625
88,Rush Hour,-0.06,27.48,91.3
89,Rush Hour,0.01,27.7,91.2625
90,Rush Hour,0.09,27.74,91.275
91,Rush Hour,0.09,27.74,91.275
92,Rush Hour,0,27.76,91.2875
93,Rush Hour,-0.06,27.8,91.275
94,Rush Hour,0.04,27.7,91.3125
95,Rush Hour,0.03,27.72,91.3125
96,Rush Hour,0.06,27.74,91.3125
97,Rush Hour,0.09,27.76,91.325
98,Rush Hour,0.12,27.78,91.3375
99,Rush Hour,0.18,27.94,91.375
100,Rush Hour,0.12,28,91.4
101,Rush Hour,0.07,28.02,91.4125
102,Rush Hour,0.06,28.04,91.4125
103,Rush Hour,0.13,28.08,91.425
104,Rush Hour,0.1,28.1,91.475
105,Rush Hour,0,28.12,91.475
106,Rush Hour,0,28.14,91.475
107,Rush Hour,0.03,28.34,91.475
108,Rush Hour,0.04,28.4,91.4875
109,Rush Hour,0,28.42,91.4875
110,Rush Hour,0,28.44,91.5
111,Rush Hour,0,28.26,91.5
112,Rush Hour,-0.04,28.3,91.5
113,Rush Hour,-0.04,28.32,91.5
114,Rush Hour,0.02,28.34,91.5
115,Rush Hour,0.11,28.42,91.5
116,Rush Hour,0.17,28.32,91.5125
117,Rush Hour,0.17,28.34,91.5375
118,Rush Hour,-0.14,28.38,91.525
119,Rush Hour,-0.08,28.4,91.525
120,Rush Hour,0.03,28.42,91.525
121,Rush Hour,-0.05,23.88,91.35
122,Rush Hour,-0.02,24,91.325
123,Rush Hour,-0.03,24.06,91.325
124,Rush Hour,-0.22,23.98,91.2375
125,Rush Hour,-0.22,23.98,91.2375
126,Rush Hour,-0.26,24.06,91.2125
127,Rush Hour,-0.35,24.12,91.15
128,Rush Hour,-0.35,24.12,91.15
